aIP-i_F	VFB_00063694	Cachero2010	http://virualflybrain.org/data/Cachero2010
pSP-e_F	VFB_00063692	Cachero2010	http://virualflybrain.org/data/Cachero2010
pSP-d_F	VFB_00063693	Cachero2010	http://virualflybrain.org/data/Cachero2010
pSP-f_F	VFB_00063691	Cachero2010	http://virualflybrain.org/data/Cachero2010
SLPav4_01	VFB_00063695	Yu2013	http://virualflybrain.org/data/Yu2013
