6200706_R__1	VFB_00063145		
6200704_G__1	VFB_00063144		
5303742_R__1	VFB_00063143		
6200702_R__1	VFB_00063142		
5400614_G__1	VFB_00063141		
5400614_R__3	VFB_00063140		
5400614_R__1	VFB_00063139		
5702253_R__3	VFB_00063152		
5702252_G__1	VFB_00063151		
5702250_G__1	VFB_00063150		
5702254_G__1	VFB_00063149		
6200707_G__1	VFB_00063148		
6200706_G__1	VFB_00063147		
6200706_R__2	VFB_00063146		
5900541_G__3	VFB_00063130		
5900541_G__4	VFB_00063131		
5700717_R__1	VFB_00063128		
5900540_R__1	VFB_00063129		
6201688_G__2	VFB_00063127		
5901126_G__1	VFB_00063126		
5303327_R__1	VFB_00063137		
5901009_G__1	VFB_00063138		
5901126_R__1	VFB_00063125		
5701427_G__1	VFB_00063136		
5701697_G__1	VFB_00063134		
5701697_G__2	VFB_00063135		
6201623_R__1	VFB_00063240		
5900543_R__1	VFB_00063132		
5701423_G__1	VFB_00063133		
6201428_G__1	VFB_00063239		
5000307_R__4	VFB_00063235		
5000306_R__2	VFB_00063236		
6100508_G__1	VFB_00063237		
5300105_G__1	VFB_00063238		
5402108_G__1	VFB_00063232		
5003770_G__1	VFB_00063233		
6100507_R__1	VFB_00063234		
5601271_R__1	VFB_00063228		
5402102_G__5	VFB_00063229		
5001936_R__4	VFB_00063230		
5001936_G__1	VFB_00063231		
5000309_G__4	VFB_00063224		
5000308_G__3	VFB_00063225		
5302364_G__1	VFB_00063226		
6000128_R__2	VFB_00063227		
5400310_G__1	VFB_00063222		
5900993_R__1	VFB_00063221		
5700398_R__1	VFB_00063223		
5501489_R__1	VFB_00063218		
5302650_R__2	VFB_00063217		
5301077_G__1	VFB_00063220		
5000304_R__1	VFB_00063219		
5501483_G__1	VFB_00063215		
5501483_R__1	VFB_00063214		
5700079_G__1	VFB_00063216		
6201429_G__1	VFB_00063211		
5300588_G__1	VFB_00063210		
5501482_R__1	VFB_00063213		
5600356_R__1	VFB_00063212		
5600359_R__1	VFB_00063205		
5600359_G__1	VFB_00063206		
5701594_G__1	VFB_00063203		
5600358_G__1	VFB_00063204		
6201424_G__1	VFB_00063208		
5300588_R__1	VFB_00063209		
6201426_G__2	VFB_00063207		
5500928_R__1	VFB_00063198		
5500928_R__5	VFB_00063199		
5600719_G__1	VFB_00063196		
5801421_R__1	VFB_00063197		
