domain00255	VFB_00050511		
domain00254	VFB_00050510		
domain00253	VFB_00050509		
domain00252	VFB_00050508		
domain00251	VFB_00050507		
domain00250	VFB_00050506		
domain00249	VFB_00050505		
domain00248	VFB_00050504		
domain00247	VFB_00050503		
domain00246	VFB_00050502		
domain00245	VFB_00050501		
domain00244	VFB_00050500		
domain00243	VFB_00050499		
domain00242	VFB_00050498		
domain00241	VFB_00050497		
domain00240	VFB_00050496		
domain00239	VFB_00050495		
domain00238	VFB_00050494		
domain00237	VFB_00050493		
domain00236	VFB_00050492		
domain00235	VFB_00050491		
domain00234	VFB_00050490		
domain00233	VFB_00050489		
domain00232	VFB_00050488		
domain00231	VFB_00050487		
domain00230	VFB_00050486		
domain00229	VFB_00050485		
domain00228	VFB_00050484		
domain00227	VFB_00050483		
domain00226	VFB_00050482		
domain00225	VFB_00050481		
domain00224	VFB_00050480		
domain00223	VFB_00050479		
domain00222	VFB_00050478		
domain00221	VFB_00050477		
domain00220	VFB_00050476		
domain00219	VFB_00050475		
domain00218	VFB_00050474		
domain00217	VFB_00050473		
domain00216	VFB_00050472		
domain00215	VFB_00050471		
domain00214	VFB_00050470		
domain00213	VFB_00050469		
domain00212	VFB_00050468		
domain00211	VFB_00050467		
domain00210	VFB_00050466		
domain00209	VFB_00050465		
domain00208	VFB_00050464		
domain00207	VFB_00050463		
domain00206	VFB_00050462		
domain00205	VFB_00050461		
domain00204	VFB_00050460		
domain00203	VFB_00050459		
domain00202	VFB_00050458		
domain00201	VFB_00050457		
domain00200	VFB_00050456		
domain00199	VFB_00050455		
domain00198	VFB_00050454		
domain00197	VFB_00050453		
domain00196	VFB_00050452		
domain00195	VFB_00050451		
domain00194	VFB_00050450		
domain00193	VFB_00050449		
domain00192	VFB_00050448		
domain00191	VFB_00050447		
domain00190	VFB_00050446		
domain00189	VFB_00050445		
domain00188	VFB_00050444		
domain00187	VFB_00050443		
domain00186	VFB_00050442		
domain00185	VFB_00050441		
domain00184	VFB_00050440		
domain00183	VFB_00050439		
domain00182	VFB_00050438		
domain00181	VFB_00050437		
domain00180	VFB_00050436		
domain00179	VFB_00050435		
domain00178	VFB_00050434		
domain00177	VFB_00050433		
domain00176	VFB_00050432		
domain00175	VFB_00050431		
domain00174	VFB_00050430		
domain00173	VFB_00050429		
domain00172	VFB_00050428		
domain00171	VFB_00050427		
domain00170	VFB_00050426		
domain00169	VFB_00050425		
domain00168	VFB_00050424		
domain00167	VFB_00050423		
domain00166	VFB_00050422		
domain00165	VFB_00050421		
domain00164	VFB_00050420		
domain00163	VFB_00050419		
domain00162	VFB_00050418		
domain00161	VFB_00050417		
domain00160	VFB_00050416		
domain00159	VFB_00050415		
domain00158	VFB_00050414		
domain00157	VFB_00050413		
domain00156	VFB_00050412		
domain00155	VFB_00050411		
domain00154	VFB_00050410		
domain00153	VFB_00050409		
domain00152	VFB_00050408		
domain00151	VFB_00050407		
domain00150	VFB_00050406		
domain00149	VFB_00050405		
domain00148	VFB_00050404		
domain00147	VFB_00050403		
domain00146	VFB_00050402		
domain00145	VFB_00050401		
domain00144	VFB_00050400		
domain00143	VFB_00050399		
domain00142	VFB_00050398		
domain00141	VFB_00050397		
domain00140	VFB_00050396		
domain00139	VFB_00050395		
domain00138	VFB_00050394		
domain00137	VFB_00050393		
domain00136	VFB_00050392		
domain00135	VFB_00050391		
domain00134	VFB_00050390		
domain00133	VFB_00050389		
domain00132	VFB_00050388		
domain00131	VFB_00050387		
domain00130	VFB_00050386		
domain00129	VFB_00050385		
domain00128	VFB_00050384		
domain00127	VFB_00050383		
domain00126	VFB_00050382		
domain00125	VFB_00050381		
domain00124	VFB_00050380		
domain00123	VFB_00050379		
domain00122	VFB_00050378		
domain00121	VFB_00050377		
domain00120	VFB_00050376		
domain00119	VFB_00050375		
domain00118	VFB_00050374		
domain00117	VFB_00050373		
domain00116	VFB_00050372		
domain00115	VFB_00050371		
domain00114	VFB_00050370		
domain00113	VFB_00050369		
domain00112	VFB_00050368		
domain00111	VFB_00050367		
domain00110	VFB_00050366		
domain00109	VFB_00050365		
domain00108	VFB_00050364		
domain00107	VFB_00050363		
domain00106	VFB_00050362		
domain00105	VFB_00050361		
domain00104	VFB_00050360		
domain00103	VFB_00050359		
domain00102	VFB_00050358		
domain00101	VFB_00050357		
domain00100	VFB_00050356		
domain00099	VFB_00050355		
domain00098	VFB_00050354		
domain00097	VFB_00050353		
domain00096	VFB_00050352		
domain00095	VFB_00050351		
domain00094	VFB_00050350		
domain00093	VFB_00050349		
domain00092	VFB_00050348		
domain00091	VFB_00050347		
domain00090	VFB_00050346		
domain00089	VFB_00050345		
domain00088	VFB_00050344		
domain00087	VFB_00050343		
domain00086	VFB_00050342		
domain00085	VFB_00050341		
domain00084	VFB_00050340		
domain00083	VFB_00050339		
domain00082	VFB_00050338		
domain00081	VFB_00050337		
domain00080	VFB_00050336		
domain00079	VFB_00050335		
domain00078	VFB_00050334		
domain00077	VFB_00050333		
domain00076	VFB_00050332		
domain00075	VFB_00050331		
domain00074	VFB_00050330		
domain00073	VFB_00050329		
domain00072	VFB_00050328		
domain00071	VFB_00050327		
domain00070	VFB_00050326		
domain00069	VFB_00050325		
domain00068	VFB_00050324		
domain00067	VFB_00050323		
domain00066	VFB_00050322		
domain00065	VFB_00050321		
