reference	data.jso	thumbnail.png	index.html	volume.nrrd
VFB_00015293 	0	1	0	1
VFB_00015294 	0	1	0	1
VFB_00015330 	0	1	0	1
VFB_00015356 	0	1	0	1
VFB_00015372 	0	1	0	1
VFB_00015624 	0	1	0	1
VFB_00015720 	0	1	0	1
VFB_00015773 	0	1	0	1
VFB_00023727 	0	0	0	1
VFB_00023728 	0	0	0	1
VFB_00023729 	0	0	0	1
VFB_00023730 	0	0	0	1
VFB_00023731 	0	0	0	1
VFB_00023732 	0	0	0	1
VFB_00023733 	0	0	0	1
VFB_00023734 	0	0	0	1
VFB_00023735 	0	0	0	1
VFB_00023736 	0	0	0	1
VFB_00023737 	0	0	0	1
VFB_00023738 	0	0	0	1
VFB_00023739 	0	0	0	1
VFB_00023740 	0	0	0	1
VFB_00023741 	0	0	0	1
VFB_00023742 	0	0	0	1
VFB_00023743 	0	0	0	1
VFB_00023744 	0	0	0	1
VFB_00023745 	0	0	0	1
VFB_00023746 	0	0	0	1
VFB_00023747 	0	0	0	1
VFB_00023748 	0	0	0	1
VFB_00023749 	0	0	0	1
VFB_00023750 	0	0	0	1
VFB_00023751 	0	0	0	1
VFB_00023752 	0	0	0	1
VFB_00023753 	0	0	0	1
VFB_00023754 	0	0	0	1
VFB_00023755 	0	0	0	1
VFB_00023756 	0	0	0	1
VFB_00023757 	0	0	0	1
VFB_00023758 	0	0	0	1
VFB_00023759 	0	0	0	1
VFB_00023760 	0	0	0	1
VFB_00023761 	0	0	0	1
VFB_00023762 	0	0	0	1
VFB_00023763 	0	0	0	1
VFB_00023764 	0	0	0	1
VFB_00023765 	0	0	0	1
VFB_00023766 	0	0	0	1
VFB_00023767 	0	0	0	1
VFB_00023768 	0	0	0	1
VFB_00023769 	0	0	0	1
VFB_00023770 	0	0	0	1
VFB_00023771 	0	0	0	1
VFB_00023772 	0	0	0	1
VFB_00023773 	0	0	0	1
VFB_00023774 	0	0	0	1
VFB_00023775 	0	0	0	1
VFB_00023776 	0	0	0	1
VFB_00023777 	0	0	0	1
VFB_00023778 	0	0	0	1
VFB_00023779 	0	0	0	1
VFB_00023780 	0	0	0	1
VFB_00023781 	0	0	0	1
VFB_00023782 	0	0	0	1
VFB_00023783 	0	0	0	1
VFB_00023784 	0	0	0	1
VFB_00023785 	0	0	0	1
VFB_00023786 	0	0	0	1
VFB_00023787 	0	0	0	1
VFB_00023788 	0	0	0	1
VFB_00023789 	0	0	0	1
VFB_00023790 	0	0	0	1
VFB_00023791 	0	0	0	1
VFB_00023792 	0	0	0	1
VFB_00023793 	0	0	0	1
VFB_00023794 	0	0	0	1
VFB_00023795 	0	0	0	1
VFB_00023796 	0	0	0	1
VFB_00023797 	0	0	0	1
VFB_00023798 	0	0	0	1
VFB_00023799 	0	0	0	1
VFB_00023800 	0	0	0	1
VFB_00023801 	0	0	0	1
VFB_00023802 	0	0	0	1
VFB_00023803 	0	0	0	1
VFB_00023804 	0	0	0	1
VFB_00023805 	0	0	0	1
VFB_00023806 	0	0	0	1
VFB_00023807 	0	0	0	1
VFB_00023808 	0	0	0	1
VFB_00023809 	0	0	0	1
VFB_00023810 	0	0	0	1
VFB_00023811 	0	0	0	1
VFB_00023812 	0	0	0	1
VFB_00023813 	0	0	0	1
VFB_00023814 	0	0	0	1
VFB_00023815 	0	0	0	1
VFB_00023816 	0	0	0	1
VFB_00023817 	0	0	0	1
VFB_00023818 	0	0	0	1
VFB_00023819 	0	0	0	1
VFB_00023820 	0	0	0	1
VFB_00023821 	0	0	0	1
VFB_00023822 	0	0	0	1
VFB_00023823 	0	0	0	1
VFB_00023824 	0	0	0	1
VFB_00023825 	0	0	0	1
VFB_00023826 	0	0	0	1
VFB_00023827 	0	0	0	1
VFB_00023828 	0	0	0	1
VFB_00023829 	0	0	0	1
VFB_00023830 	0	0	0	1
VFB_00023831 	0	0	0	1
VFB_00023832 	0	0	0	1
VFB_00023833 	0	0	0	1
VFB_00023834 	0	0	0	1
VFB_00023835 	0	0	0	1
VFB_00023836 	0	0	0	1
VFB_00023837 	0	0	0	1
VFB_00023838 	0	0	0	1
VFB_00023839 	0	0	0	1
VFB_00023840 	0	0	0	1
VFB_00023841 	0	0	0	1
VFB_00023842 	0	0	0	1
VFB_00023843 	0	0	0	1
VFB_00023844 	0	0	0	1
VFB_00023845 	0	0	0	1
VFB_00023846 	0	0	0	1
VFB_00023847 	0	0	0	1
VFB_00023848 	0	0	0	1
VFB_00023849 	0	0	0	1
VFB_00023850 	0	0	0	1
VFB_00023851 	0	0	0	1
VFB_00023852 	0	0	0	1
VFB_00023853 	0	0	0	1
VFB_00023854 	0	0	0	1
VFB_00023855 	0	0	0	1
VFB_00023856 	0	0	0	1
VFB_00023857 	0	0	0	1
VFB_00023858 	0	0	0	1
VFB_00023859 	0	0	0	1
VFB_00023860 	0	0	0	1
VFB_00023861 	0	0	0	1
VFB_00023862 	0	0	0	1
VFB_00023863 	0	0	0	1
VFB_00023864 	0	0	0	1
VFB_00023865 	0	0	0	1
VFB_00023866 	0	0	0	1
VFB_00023867 	0	0	0	1
VFB_00023868 	0	0	0	1
VFB_00023869 	0	0	0	1
VFB_00023870 	0	0	0	1
VFB_00023871 	0	0	0	1
VFB_00023872 	0	0	0	1
VFB_00023873 	0	0	0	1
VFB_00023874 	0	0	0	1
VFB_00023875 	0	0	0	1
VFB_00023876 	0	0	0	1
VFB_00023877 	0	0	0	1
VFB_00023878 	0	0	0	1
VFB_00023879 	0	0	0	1
VFB_00023880 	0	0	0	1
VFB_00023881 	0	0	0	1
VFB_00023882 	0	0	0	1
VFB_00023883 	0	0	0	1
VFB_00023884 	0	0	0	1
VFB_00023885 	0	0	0	1
VFB_00023886 	0	0	0	1
VFB_00023887 	0	0	0	1
VFB_00023888 	0	0	0	1
VFB_00023889 	0	0	0	1
VFB_00023890 	0	0	0	1
VFB_00023891 	0	0	0	1
VFB_00023892 	0	0	0	1
VFB_00023893 	0	0	0	1
VFB_00023894 	0	0	0	1
VFB_00023895 	0	0	0	1
VFB_00023896 	0	0	0	1
VFB_00023897 	0	0	0	1
VFB_00023898 	0	0	0	1
VFB_00023899 	0	0	0	1
VFB_00023900 	0	0	0	1
VFB_00023901 	0	0	0	1
VFB_00023902 	0	0	0	1
VFB_00023903 	0	0	0	1
VFB_00023904 	0	0	0	1
VFB_00023905 	0	0	0	1
VFB_00023906 	0	0	0	1
VFB_00023907 	0	0	0	1
VFB_00023908 	0	0	0	1
VFB_00023909 	0	0	0	1
VFB_00023910 	0	0	0	1
VFB_00023911 	0	0	0	1
VFB_00023912 	0	0	0	1
VFB_00023913 	0	0	0	1
VFB_00023914 	0	0	0	1
VFB_00023915 	0	0	0	1
VFB_00023916 	0	0	0	1
VFB_00023917 	0	0	0	1
VFB_00023918 	0	0	0	1
VFB_00023919 	0	0	0	1
VFB_00023920 	0	0	0	1
VFB_00023921 	0	0	0	1
VFB_00023922 	0	0	0	1
VFB_00023923 	0	0	0	1
VFB_00023924 	0	0	0	1
VFB_00023925 	0	0	0	1
VFB_00023926 	0	0	0	1
VFB_00023927 	0	0	0	1
VFB_00023928 	0	0	0	1
VFB_00023929 	0	0	0	1
VFB_00023930 	0	0	0	1
VFB_00023931 	0	0	0	1
VFB_00023932 	0	0	0	1
VFB_00023933 	0	0	0	1
VFB_00023934 	0	0	0	1
VFB_00023935 	0	0	0	1
VFB_00023936 	0	0	0	1
VFB_00023937 	0	0	0	1
VFB_00023938 	0	0	0	1
VFB_00023939 	0	0	0	1
VFB_00023940 	0	0	0	1
VFB_00023941 	0	0	0	1
VFB_00023942 	0	0	0	1
VFB_00023943 	0	0	0	1
VFB_00023944 	0	0	0	1
VFB_00023945 	0	0	0	1
VFB_00023946 	0	0	0	1
VFB_00023947 	0	0	0	1
VFB_00023948 	0	0	0	1
VFB_00023949 	0	0	0	1
VFB_00023950 	0	0	0	1
VFB_00023951 	0	0	0	1
VFB_00023952 	0	0	0	1
VFB_00023953 	0	0	0	1
VFB_00023954 	0	0	0	1
VFB_00023955 	0	0	0	1
VFB_00023956 	0	0	0	1
VFB_00023957 	0	0	0	1
VFB_00023958 	0	0	0	1
VFB_00023959 	0	0	0	1
VFB_00023960 	0	0	0	1
VFB_00023961 	0	0	0	1
VFB_00023962 	0	0	0	1
VFB_00023963 	0	0	0	1
VFB_00023964 	0	0	0	1
VFB_00023965 	0	0	0	1
VFB_00023966 	0	0	0	1
VFB_00023967 	0	0	0	1
VFB_00023968 	0	0	0	1
VFB_00023969 	0	0	0	1
VFB_00023970 	0	0	0	1
VFB_00023971 	0	0	0	1
VFB_00023972 	0	0	0	1
VFB_00023973 	0	0	0	1
VFB_00023974 	0	0	0	1
VFB_00023975 	0	0	0	1
VFB_00023976 	0	0	0	1
VFB_00023977 	0	0	0	1
VFB_00023978 	0	0	0	1
VFB_00023979 	0	0	0	1
VFB_00023980 	0	0	0	1
VFB_00023981 	0	0	0	1
VFB_00023982 	0	0	0	1
VFB_00023983 	0	0	0	1
VFB_00023984 	0	0	0	1
VFB_00023985 	0	0	0	1
VFB_00023986 	0	0	0	1
VFB_00023987 	0	0	0	1
VFB_00023988 	0	0	0	1
VFB_00023989 	0	0	0	1
VFB_00023990 	0	0	0	1
VFB_00023991 	0	0	0	1
VFB_00023992 	0	0	0	1
