OL0015B-20130702_31_H3-20x-Brain-1922549997102956642	VFB_00063836	LC_Paper	http://virtualflybrain.org/reports/VFB_00063836
OL0019B-20131210_31_F2-20x-Brain-1953575677458382855	VFB_00063838	LC_Paper	http://virtualflybrain.org/reports/VFB_00063838
OL0019B-20140611_31_A2-20x-Brain-2284749601363722338	VFB_00063839	LC_Paper	http://virtualflybrain.org/reports/VFB_00063839
OL0092C-20140612_31_G2-20x-Brain-2287417329220321378	VFB_00063857	LC_Paper	http://virtualflybrain.org/reports/VFB_00063857
OL0020B-20140611_31_D1-20x-Brain-2284749583848308834	VFB_00063840	LC_Paper	http://virtualflybrain.org/reports/VFB_00063840
OL0044B-20140121_32_H1-20x-Brain-1968820654031503458	VFB_00063848	LC_Paper	http://virtualflybrain.org/reports/VFB_00063848
OL0011B-20140612_32_A2-20x-Brain-2021712983515725922	VFB_00063834	LC_Paper	http://virtualflybrain.org/reports/VFB_00063834
OL0045B-20140612_32_G4-20x-Brain-2021737053531668578	VFB_00063849	LC_Paper	http://virtualflybrain.org/reports/VFB_00063849
OL0010B-20140611_32_C1-20x-Brain-2287417088177864802	VFB_00063833	LC_Paper	http://virtualflybrain.org/reports/VFB_00063833
OL0010B-20130702_31_G3-20x-Brain-2321330587543011402	VFB_00063832	LC_Paper	http://virtualflybrain.org/reports/VFB_00063832
OL0046B-20140425_32_B1-20x-Brain-2008196860212158562	VFB_00063850	LC_Paper	http://virtualflybrain.org/reports/VFB_00063850
OL0046B-20140612_31_F1-20x-Brain-2287417401978912866	VFB_00063851	LC_Paper	http://virtualflybrain.org/reports/VFB_00063851
OL0042B-20140121_32_F3-20x-Brain-1968811822383366242	VFB_00063846	LC_Paper	http://virtualflybrain.org/reports/VFB_00063846
OL0042B-20140612_31_B1-20x-Brain-2287417029679906914	VFB_00063847	LC_Paper	http://virtualflybrain.org/reports/VFB_00063847
OL0048B-20131210_31_H4-20x-Brain-1953572827445592071	VFB_00063852	LC_Paper	http://virtualflybrain.org/reports/VFB_00063852
OL0048B-20140425_31_C1-20x-Brain-2002819053445447778	VFB_00063853	LC_Paper	http://virtualflybrain.org/reports/VFB_00063853
OL0070B-20140620_32_I3-20x-Brain-2287416854836150370	VFB_00063854	LC_Paper	http://virtualflybrain.org/reports/VFB_00063854
OL0021B-20140611_31_E2-20x-Brain-2284748726364799074	VFB_00063841	LC_Paper	http://virtualflybrain.org/reports/VFB_00063841
OL0022B-20140611_31_F1-20x-Brain-2284747886149238882	VFB_00063842	LC_Paper	http://virtualflybrain.org/reports/VFB_00063842
OL0023B-20140611_31_G2-20x-Brain-2284748519782744162	VFB_00063843	LC_Paper	http://virtualflybrain.org/reports/VFB_00063843
OL0027B-20140611_32_H1-20x-Brain-2287417265710170210	VFB_00063844	LC_Paper	http://virtualflybrain.org/reports/VFB_00063844
OL0005B-20140611_32_F1-20x-Brain-2287417124542480482	VFB_00063828	LC_Paper	http://virtualflybrain.org/reports/VFB_00063828
OL0071B-20140613_31_I1-20x-Brain-2287417455133327458	VFB_00063855	LC_Paper	http://virtualflybrain.org/reports/VFB_00063855
MB065B-20150925_44_D3-20x-Brain-2302991669718417482	VFB_00063820	Aso2014	http://virtualflybrain.org/reports/VFB_00063820
MB109B-20151023_42_A3-20x-Brain-2302992374764142666	VFB_00063822	Aso2014	http://virtualflybrain.org/reports/VFB_00063822
MB099C-20150207_43_A3-20x-Brain-2302990758124191818	VFB_00063821	Namiki2018	http://virtualflybrain.org/reports/VFB_00063821
MB063B-20151023_42_B4-20x-Brain-2302992240626106442	VFB_00063819	Aso2014	http://virtualflybrain.org/reports/VFB_00063819
MB213B-20150925_44_C6-20x-Brain-2302990620647489610	VFB_00063823	Aso2014	http://virtualflybrain.org/reports/VFB_00063823
MB320C-20150207_43_A5-20x-Brain-2302991157644230730	VFB_00063825	Aso2014	http://virtualflybrain.org/reports/VFB_00063825
MB296B-20150925_44_C4-20x-Brain-2302990756467441738	VFB_00063824	Aso2014	http://virtualflybrain.org/reports/VFB_00063824
