Aligned file name	VFB ind name	VFBid
JFRC2_VT000205_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000205_GAL4_attP2_2	VFB_00024306
JFRC2_VT000248_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000248_GAL4_attP2_1	VFB_00024307
JFRC2_VT000248_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000248_GAL4_attP2_2	VFB_00024308
JFRC2_VT000249_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000249_GAL4_attP2_3	VFB_00024309
JFRC2_VT000249_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000249_GAL4_attP2_4	VFB_00024310
JFRC2_VT000250_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000250_GAL4_attP2_1	VFB_00024311
JFRC2_VT000250_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000250_GAL4_attP2_2	VFB_00024312
JFRC2_VT000251_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000251_GAL4_attP2_1	VFB_00024313
JFRC2_VT000252_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000252_GAL4_attP2_1	VFB_00024314
JFRC2_VT000252_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000252_GAL4_attP2_2	VFB_00024315
JFRC2_VT000252_LexAGAD_attP2_3_bridge.nrrd 	VDRC_VT000252_LexAGAD_attP2_3	VFB_00024316
JFRC2_VT000252_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000252_LexAGAD_attP40_1	VFB_00024317
JFRC2_VT000252_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000252_LexAGAD_attP40_2	VFB_00024318
JFRC2_VT000252_LexAGAD_attP40_3_bridge.nrrd 	VDRC_VT000252_LexAGAD_attP40_3	VFB_00024319
JFRC2_VT000254_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000254_GAL4_attP2_1	VFB_00024320
JFRC2_VT000254_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000254_GAL4_attP2_2	VFB_00024321
JFRC2_VT000256_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000256_GAL4_attP2_1	VFB_00024322
JFRC2_VT000256_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000256_GAL4_attP2_2	VFB_00024323
JFRC2_VT000266_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000266_GAL4_attP2_3	VFB_00024324
JFRC2_VT000267_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000267_GAL4_attP2_1	VFB_00024325
JFRC2_VT000268_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000268_GAL4_attP2_2	VFB_00024326
JFRC2_VT000268_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000268_GAL4_attP2_3	VFB_00024327
JFRC2_VT000269_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000269_GAL4_attP2_1	VFB_00024328
JFRC2_VT000269_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000269_GAL4_attP2_2	VFB_00024329
JFRC2_VT000270_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000270_GAL4_attP2_2	VFB_00024330
JFRC2_VT000270_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000270_GAL4_attP2_3	VFB_00024331
JFRC2_VT000272_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000272_GAL4_attP2_1	VFB_00024332
JFRC2_VT000272_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000272_GAL4_attP2_2	VFB_00024333
JFRC2_VT000274_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000274_GAL4_attP2_4	VFB_00024334
JFRC2_VT000275_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000275_GAL4_attP2_2	VFB_00024335
JFRC2_VT000277_GAL4_attP2_6_bridge.nrrd 	VDRC_VT000277_GAL4_attP2_6	VFB_00024336
JFRC2_VT000278_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000278_GAL4_attP2_1	VFB_00024337
JFRC2_VT000278_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000278_GAL4_attP2_2	VFB_00024338
JFRC2_VT000278_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000278_GAL4_attP2_3	VFB_00024339
JFRC2_VT000279_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000279_GAL4_attP2_1	VFB_00024340
JFRC2_VT000279_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000279_GAL4_attP2_2	VFB_00024341
JFRC2_VT000295_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000295_LexAGAD_attP40_2	VFB_00024342
JFRC2_VT000309_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000309_LexAGAD_attP40_1	VFB_00024343
JFRC2_VT000309_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000309_LexAGAD_attP40_2	VFB_00024344
JFRC2_VT000327_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000327_GAL4_attP2_4	VFB_00024345
JFRC2_VT000341_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000341_GAL4_attP2_1	VFB_00024346
