Aligned file name	VFB ind name	VFBid
JFRC2_VT000635_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000635_GAL4_attP2_2	VFB_00024478
JFRC2_VT000635_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000635_GAL4_attP2_3	VFB_00024479
JFRC2_VT000652_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000652_LexAGAD_attP40_1	VFB_00024480
JFRC2_VT000655_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000655_LexAGAD_attP40_1	VFB_00024481
JFRC2_VT000655_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000655_LexAGAD_attP40_2	VFB_00024482
JFRC2_VT000688_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000688_GAL4_attP2_2	VFB_00024483
JFRC2_VT000695_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000695_GAL4_attP2_5	VFB_00024484
JFRC2_VT000695_GAL4_attP2_6_bridge.nrrd 	VDRC_VT000695_GAL4_attP2_6	VFB_00024485
JFRC2_VT000695_GAL4_attP2_7_bridge.nrrd 	VDRC_VT000695_GAL4_attP2_7	VFB_00024486
JFRC2_VT000765_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000765_GAL4_attP2_1	VFB_00024487
JFRC2_VT000767_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000767_GAL4_attP2_4	VFB_00024488
JFRC2_VT000767_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000767_GAL4_attP2_5	VFB_00024489
JFRC2_VT000767_LexAGAD_attP2_1_bridge.nrrd 	VDRC_VT000767_LexAGAD_attP2_1	VFB_00024490
JFRC2_VT000767_LexAGAD_attP2_2_bridge.nrrd 	VDRC_VT000767_LexAGAD_attP2_2	VFB_00024491
JFRC2_VT000768_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000768_GAL4_attP2_1	VFB_00024492
JFRC2_VT000769_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000769_GAL4_attP2_1	VFB_00024493
JFRC2_VT000769_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000769_GAL4_attP2_3	VFB_00024494
JFRC2_VT000770_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000770_GAL4_attP2_2	VFB_00024495
JFRC2_VT000770_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000770_LexAGAD_attP40_1	VFB_00024496
JFRC2_VT000770_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000770_LexAGAD_attP40_2	VFB_00024497
JFRC2_VT000770_LexAGAD_attP40_3_bridge.nrrd 	VDRC_VT000770_LexAGAD_attP40_3	VFB_00024498
