ff	brightest
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000021_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	41
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000022_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	77
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000022_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	53
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000023_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	67
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000024_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	162
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000025_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	61
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000025_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	67
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000026_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	170
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000027_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	51
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000028_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	61
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000029_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	46
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000030_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	50
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000030_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	43
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000031_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	59
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000032_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	92
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-F000045_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	141
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000033_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	94
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000034_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	51
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000035_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	47
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000036_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	52
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000037_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	76
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000038_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	171
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000038_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	204
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000038_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	65
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000039_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	104
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000040_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	95
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000042_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	53
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000043_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	99
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000044_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	38
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000044_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	49
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000046_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	165
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000047_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	203
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000048_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	196
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000049_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	182
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000049_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	186
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000050_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	40
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000050_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	138
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000051_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	42
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000051_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	37
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000052_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	52
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000053_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	42
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000054_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	91
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000054_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	208
