label	vfbid	sourcename	sourceuri
JFRC2_VT000002_GAL4_attP2_1	VFB_00024238	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000002_GAL4_attP2_2	VFB_00024239	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000003_GAL4_attP2_2	VFB_00024240	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000004_GAL4_attP2_1	VFB_00024254	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000004_GAL4_attP2_2	VFB_00024257	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000004_GAL4_attP2_3	VFB_00024259	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000007_GAL4_attP2_1	VFB_00024260	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000007_GAL4_attP2_2	VFB_00024261	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000008_GAL4_attP2_2	VFB_00024262	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000009_GAL4_attP2_1	VFB_00024263	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000009_GAL4_attP2_2	VFB_00024264	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000010_GAL4_attP2_1	VFB_00024265	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000010_GAL4_attP2_2	VFB_00024266	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000011_GAL4_attP2_1	VFB_00024267	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000011_GAL4_attP2_2	VFB_00024268	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000013_GAL4_attP2_1	VFB_00024269	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000013_GAL4_attP2_2	VFB_00024270	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000017_GAL4_attP2_1	VFB_00024271	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000017_GAL4_attP2_2	VFB_00024272	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000019_GAL4_attP2_1	VFB_00024273	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000019_GAL4_attP2_2	VFB_00024274	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000025_GAL4_attP2_4	VFB_00024275	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000025_LexAGAD_attP40_1	VFB_00024276	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000025_LexAGAD_attP40_2	VFB_00024277	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000027_GAL4_attP2_2	VFB_00024278	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000056_LexAGAD_attP40_1	VFB_00024279	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000056_LexAGAD_attP40_2	VFB_00024280	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000062_LexAGAD_attP40_1	VFB_00024281	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000062_LexAGAD_attP40_2	VFB_00024282	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000104_GAL4_attP2_1	VFB_00024283	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000105_GAL4_attP2_5	VFB_00024284	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000105_GAL4_attP2_6	VFB_00024285	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000106_GAL4_attP2_4	VFB_00024286	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000106_GAL4_attP2_5	VFB_00024287	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000106_GAL4_attP2_6	VFB_00024288	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000107_GAL4_attP2_2	VFB_00024289	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000108_GAL4_attP2_2	VFB_00024290	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000108_GAL4_attP2_3	VFB_00024291	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000110_GAL4_attP2_3	VFB_00024292	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000112_GAL4_attP2_2	VFB_00024293	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000112_GAL4_attP2_3	VFB_00024294	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000129_GAL4_attP2_1	VFB_00024295	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000129_GAL4_attP2_2	VFB_00024296	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000130_GAL4_attP2_1	VFB_00024297	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000131_GAL4_attP2_2	VFB_00024298	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000131_GAL4_attP2_3	VFB_00024299	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000132_GAL4_attP2_1	VFB_00024300	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
JFRC2_VT000132_GAL4_attP2_2	VFB_00024301	VT2015	http://stockcenter.vdrc.at/control/vtlibrary/
