label	vfbid	sourcename	sourceuri
aDT-b_M	VFB_00017893	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-a_M	VFB_00017892	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-c_M	VFB_00017895	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-d_M	VFB_00017896	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-e_M	VFB_00017897	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-f_M	VFB_00017898	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-g_M	VFB_00017899	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aDT-h_M	VFB_00017900	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-a_M	VFB_00017901	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-b_M	VFB_00017902	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-c_M	VFB_00017903	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-d_M	VFB_00017904	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-e_M	VFB_00017905	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-f_M	VFB_00017906	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-g_M	VFB_00017907	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-h_M	VFB_00017908	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aIP-i_M	VFB_00017909	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSG-a_M	VFB_00017910	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-a_M	VFB_00017911	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-b_M	VFB_00017912	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-c_M	VFB_00017913	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-d_M	VFB_00017914	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-e_M	VFB_00017915	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-f_M	VFB_00017916	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-g_M	VFB_00017917	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-h_M	VFB_00017918	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-i_M	VFB_00017919	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-j_M	VFB_00017920	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-k_M	VFB_00017921	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-l_M	VFB_00017922	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
aSP-m_M	VFB_00017923	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-a_M	VFB_00017924	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-b_M	VFB_00017925	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-c_M	VFB_00017926	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-d_M	VFB_00017927	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-e_M	VFB_00017928	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-f_M	VFB_00017929	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-g_M	VFB_00017930	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-h_M	VFB_00017931	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-i_M	VFB_00017932	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pIP-j_M	VFB_00017933	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-a_M	VFB_00017934	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-b_M	VFB_00017935	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-c_M	VFB_00017936	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-d_M	VFB_00017937	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-e_M	VFB_00017938	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-f_M	VFB_00017939	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pMP-g_M	VFB_00017940	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pSG-a_M	VFB_00017941	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pSG-b_M	VFB_00017942	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pSG-c_M	VFB_00017943	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pSG-d_M	VFB_00017944	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
pSG-e_M	VFB_00017945	CacheroOstrovsky2010	/site/vfb_site/image_data_downloads.htm#CacheroOstrovsky2010
