label	vfbid	sourcename	sourceuri
Janelia-1996273672339325026-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_137_442_1996339216430137442_align_AlignedFlyBrain	VFB_00069454	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-1996273640785576034-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_159_202_1996280356986159202_align_AlignedFlyBrain	VFB_00069424	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-1994454153300017250-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_721_570_1994461399295721570_align_AlignedFlyBrain	VFB_00069386	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-2259780201644818469-Brain-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_129_826_2284734919085129826_align_AlignedFlyBrain	VFB_00069595	Wu2016	http://virtualflybrain.org/data/LC_Paper
Janelia-1870576573615177826-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_347_874_1903720614934347874_align_AlignedFlyBrain	VFB_00069356	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-2260173451484463141-Brain-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_172_898_2256163216084172898_align_AlignedFlyBrain	VFB_00069625	Wu2016	http://virtualflybrain.org/data/LC_Paper
Janelia-1858873084107292770-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_902_242_1901092973936902242_align_AlignedFlyBrain	VFB_00069219	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-2149676663581966434-Brain-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_891_938_2287405486665891938_align_AlignedFlyBrain	VFB_00069590	Wu2016	http://virtualflybrain.org/data/LC_Paper
Janelia-1846510860869042274-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_339_938_1903179686834339938_align_AlignedFlyBrain	VFB_00069249	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-2021466590523949154-Brain-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_543_972_2500874684581543972_align_AlignedFlyBrain	VFB_00069560	Wu2016	http://virtualflybrain.org/data/LC_Paper
Janelia-1870576656389767266-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_783_906_1903791956513783906_align_AlignedFlyBrain	VFB_00069287	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-1998564437002289250-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_162_786_1998571478018162786_align_AlignedFlyBrain	VFB_00069522	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-1846510894750629986-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_549_602_1903329885766549602_align_AlignedFlyBrain	VFB_00069317	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-1997032243524010082-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_899_426_1997094019900899426_align_AlignedFlyBrain	VFB_00069492	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-1996273751221600354-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_543_586_1996398391604543586_align_AlignedFlyBrain	VFB_00069453	Aso2014	http://virtualflybrain.org/data/Aso2014
Janelia-2259780211669205029-Brain-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_527_650_2284735070629527650_align_AlignedFlyBrain	VFB_00069596	Wu2016	http://virtualflybrain.org/data/LC_Paper
Janelia-1996273604156719202-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_356_450_1996276610688356450_align_AlignedFlyBrain	VFB_00069423	Aso2014	http://virtualflybrain.org/data/Aso2014
