label	vfbid	sourcename	sourceuri
121127-JK1029fill	VFB_00030666	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030666
121126-JK1029fill	VFB_00030665	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030665
121128-4JK1029fill	VFB_00030668	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030668
121128-12JK1029fill	VFB_00030667	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030667
121123-JK1029fill	VFB_00030662	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030662
121123-3JK1029fill	VFB_00030661	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030661
121126-4JK1029fill	VFB_00030664	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030664
121126-3JK1029fill	VFB_00030663	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030663
110908-4fruFill	VFB_00030671	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030671
110907-2fruFill	VFB_00030670	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030670
120418-2JK1029fill	VFB_00030677	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030677
120417-JK1029fill	VFB_00030676	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030676
120421-4JK1029fill	VFB_00030679	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030679
120420-JK1029fill	VFB_00030678	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030678
110911-5fruFill	VFB_00030673	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030673
110911-1fruFill	VFB_00030672	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030672
120404-JK56fill	VFB_00030675	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030675
120308-JK1029fill	VFB_00030674	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030674
